Repository,File Name,Class,Start Line,End Line,Displacement,Level
output,StackOverflow_Calvin_014.py,Simple List,2,2,25,A1
output,StackOverflow_Calvin_014.py,Simple List,2,2,71,A1
output,StackOverflow_Calvin_014.py,Simple List,4,4,27,A1
output,StackOverflow_Calvin_014.py,Simple List,4,4,82,A1
output,StackOverflow_Calvin_014.py,Simple List,7,7,18,A1
output,StackOverflow_Calvin_014.py,Simple List,7,7,31,A1
output,StackOverflow_Calvin_014.py,2 List Dictionary,2,2,13,B1
output,StackOverflow_Calvin_014.py,2 List Dictionary,4,4,15,B1
output,StackOverflow_Calvin_014.py,Print,9,9,0,A1
output,StackOverflow_Calvin_014.py,Simple Atributte,3,3,4,A2
output,StackOverflow_Calvin_014.py,Simple Atributte,5,5,4,A2
output,StackOverflow_Calvin_014.py,Simple Atributte,7,7,8,A2
output,StackOverflow_Calvin_014.py,Simple Assignment,2,2,0,A1
output,StackOverflow_Calvin_014.py,Simple Assignment,3,3,0,A1
output,StackOverflow_Calvin_014.py,Simple Assignment,4,4,0,A1
output,StackOverflow_Calvin_014.py,Simple Assignment,5,5,0,A1
output,StackOverflow_Calvin_014.py,Simple Assignment,7,7,0,A1
output,StackOverflow_Calvin_014.py,Import with 'as' extension ,1,1,0,B1
